Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Protium,Madhya Pradesh,Indore,"Protium Finance Limited, Rajendra Nagar-Indore","290, 1st Floor, Gopur Extension, 97 part 4, Slice no. 1, Gopur Chouraha, Rajendra Nagar, Indore, Madhya Pradesh, 452009.",452009,22.6846384,75.8288603
Protium,West Bengal,Kolkata,"Protium Finance Limited, Piccaso Bithi","4th Floor, Sai Krishna Building, 10C, Piccaso Bithi ( formerly known as Hungerford Street), Shakespeare Sarani, Kolkata, West Bengal, 700017.",700017,22.5441434,88.3548933
Protium,Uttar Pradesh,Ghaziabad,"Protium Finance Limited, Ghaziabad","TF-09A, 3rd Floor, Astoria Boulevard, RDC, Hint Chowk, Ghaziabad, Uttar Pradesh, 201002.",201002,28.6779231,77.442382
Protium,Andhra Pradesh,Tirupati,"Protium Finance Limited, Tirupati","2nd Floor, Krishna Tulasi Paradise, 392A, Tilak Rd, Tirupati, Tirupati, Andhra Pradesh, 517501.",517501,13.63559,79.4220879
Protium,Telangana,Hyderabad,"Protium Finance Limited, Balanagar","Lendalay Estate, 6-3-74/75, Balanagar Main Road, Opposite to NRSC, Shobana Colony, Hyderabad, Telangana, 500042.",500042,17.4647275,78.4501671
Protium,Gujarat,Rajkot,"Protium Finance Limited, Rajkot","Office No. 401/2/3/4, 4th Floor, Nakshtra 9, Opp. Girnar Cinema, Near Phulchhab Press, Rajkot, Gujarat, 360001.",360001,22.2986353,70.7935779
Protium,Uttar Pradesh,Kanpur,"Protium Finance Limited, Kanpur","2nd Floor, E-16/19, Civil Lines, Kanpur, Uttar Pradesh, 208001.",208001,26.4759294,80.3575061
Protium,Tamil Nadu,Tirunelveli,"Protium Finance Limited, Tiruneveli","No. 991, Castro Palace, South By Pass Road, Near New Bus Stand, Tirunelveli, Tamil Nadu, 627005.",627005,8.700588,77.724926
Protium,Uttar Pradesh,Noida,"Protium Finance Limited, Noida","1st Floor, Ch. Baburam Mukhiya Complex, Morna, Sector 35, Noida, Uttar Pradesh, 201301.",201301,28.5782148,77.3607408
Protium,Telangana,Hyderabad,"Protium Finance Limited, Dilsukhnagar","House No. 16-11-579-1-1, 16-11-579-1-2,3,4, 2nd Floor, Tomasoma Jyothirgamaya Building, Dilsukhnagar, Gaddiannaram, Hyderabad, Telangana, 500060.",500060,17.3645523,78.5217912
