Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Varthana Finance,Uttar Pradesh,None,Agra,"Varthana Finance Office No. 402, 4thfloor, Prateek Center, Near AU Small Bank, Sanjay Place, Agra - 282002",282002,27.1991556,78.0069452
Varthana Finance,Gujarat,None,Ahmedabad,"Varthana Finance G-202, Titanium City Centre, Next To Sachin Tower, Anand Nagar, Ahmedabad - 380015",380015,23.0125416,72.5228987
Varthana Finance,Maharashtra,None,Aurangabad,"Varthana Finance Flat no 304, Samyak Galleria, Sutgirni Chowk, Garkhede Parisar, Aurangabad- 431009",431009,19.8592934,75.34613159999999
Varthana Finance,Karnataka,None,Bangalore,"Varthana Finance Varasiddhi, 5BC-110, 3rdFloor, Service Road, 3rd Block, HRBR Layout, Bangalore - 560043",560043,13.0275097,77.6326684
Varthana Finance,Karnataka,None,Bangalore - Hennur,"Varthana Finance Balaji Complex, 2ndFloor, opp. D-Mart Hennur Main Road, Bangalore- 560043",560043,13.0114554,77.6250446
Varthana Finance,Odisha,None,Bhadrak,"Varthana Finance 2ndfloor, R.C. Behera Mansion, Saland By-pass, Bhadrak - 756100",756100,21.072776,86.5071025
Varthana Finance,Madhya Pradesh,None,Bhopal,"Varthana Finance 1stFloor, 51-A, Old Ashoka Garden, Near Prabhat Petrol Pump, Govindpura, Bhopal - 462023",462023,23.2527933,77.4307814
Varthana Finance,Odisha,None,Bhubaneshwar,"Varthana Finance Plot No. N/6-173, IRC Village, Nayapalli, Near Rameswar Temple, Bhubaneswar, Odisha -751015",751015,20.2952597,85.8197654
Varthana Finance,Rajasthan,None,Bikaner,"Varthana Finance No. 14, 2ndFloor, Shadulganj, Panchavati Circle, Bikaner - 334003",334003,28.0107411,73.3333549
Varthana Finance,Punjab,None,Chandigarh,"Varthana Finance Sushma Infinium, Unit No. 5, 4thFloor, Near Best price Chandigarh Ambala Highway, Zirakpur - 140603",140603,30.6387037,76.82334589999999
Varthana Finance,Tamil Nadu,None,Chennai,"Varthana Finance C/O Inwrks Spaces & Business Solutions LLP, No. 4, 3rdFloor, 3rdMain Road, Rajalakshmi Nagar, Velachery, Chennai, Tamil Nadu 600042",600042,12.984509,80.21938519999999
Varthana Finance,Tamil Nadu,None,Coimbatore,"Varthana Finance No. 130, 2ndFloor, Shastri Road, Ram Nagar, Near HDFC Bank, Coimbatore - 641009",641009,11.017676,76.968789
Varthana Finance,Uttarakhand,None,Dehradun,"Varthana Finance No.109, Ground Floor, Tagore Villa, Chakrata Road, Dehradun - 248001",248001,30.3264955,78.0338466
Varthana Finance,Delhi,None,Delhi,"Varthana Finance Unit No. 3, Ground Floor, Pearls Omaxe Tower, Plot B 1, Netaji Subhash Place, Pitampura, Delhi - 110034",110034,28.6905841,77.1517968
Varthana Finance,Uttar Pradesh,None,Gorakhpur,"Varthana Finance Mauja Daudpur, Shop No. 9, D P Complex, 1stFloor, Gorakhpur - 273001",273001,26.7401226,83.3742644
Varthana Finance,Haryana,None,Gurgaon,"Varthana Finance 1162 & 1163, Tower B-1, 11thFloor, Spaze I Tech Park, Sector 49, Sohna Road, Gurugram - 122018",122018,28.3972156,77.0297513
Varthana Finance,Karnataka,None,Hubli,"Varthana Finance Eureka Junction Building, 4thFloor, Block No. 35 & 36 T B Road, Opp. Revankar Comfort Hubli - 580029",580029,15.3647083,75.1239547
Varthana Finance,Haryana,None,Hisar,"Varthana Finance No. 31, Sentro Enclave, Near Sheesh Mahal, Hisar - 125001",125001,29.139579,75.71742259999999
Varthana Finance,Telangana,None,Hyderabad,"Varthana Finance H no:1-8-303/40 2ndfloor, Ravi Plaza PG road, Sindhi Colony Above Urban Kissan Secunderabad - 500003",500003,17.4406315,78.47970579999999
Varthana Finance,Madhya Pradesh,None,Indore,"Varthana Finance 308, Orbit Mall, 3rdfloor, AB Road, Vijay Nagar, Indore, Madhya Pradesh 452010",452010,22.7262499,75.8875123
Varthana Finance,Madhya Pradesh,None,Jabalpur,"Varthana Finance C/o Mahesh Dimke, 2ndFloor, Plot No. 26, Sant Santaji Colony, M R 4 Link Road, Ahinsa Square, Vijay Nagar, Jabalpur - 482002",482002,23.1848507,79.910028
Varthana Finance,Rajasthan,None,Jaipur,"Varthana Finance Ajanta, Plot No. 14/73, 3rdFloor Shipra path mansarovar jaipur - 302020",302020,26.8577832,75.769183
Varthana Finance,Punjab,None,Jalandhar,"Varthana Finance Nirmal Complex No. 208, 2ndFloor, EH-198, Civil Lines, GT Road, Jalandhar - 144001",144001,31.3209227,75.5828497
Varthana Finance,Rajasthan,None,Jodhpur,"Varthana Finance 1stfloor, Shri Vinayak, A 106, Akhaliya Vikas Yojana, Akhaliya Circle, Chopasni Road, Jodhpur - 342003",342003,26.2555218,72.9654947
Varthana Finance,Karnataka,None,Kalaburagi,"Varthana Finance No- 1-891/77/24, Sai Complex, Near Sarvajna College, Sai Nagar High Court Ring Road, Kalburgi - 585102",585102,17.3002227,76.8142599
Varthana Finance,Andhra Pradesh,None,Kurnool,"Varthana Finance No. 40/439-2-F-20-21, 1stFloor, T J Shopping Mall, railway station road, Kurnool - 518004",518004,15.8333333,78.0402778
Varthana Finance,Uttar Pradesh,None,Lucknow,"Varthana Finance B-3/2, Om Sai Towers, 3rdFloor, Vibhuti Khand, Opp. CNG Bus Stand, Gomti Nagar, Lucknow - 226010",226010,26.87056,80.9988103
Varthana Finance,Uttar Pradesh,None,Meerut,"Varthana Finance Parashar Trade Tower, F-8, 1stFloor, Plot no BC-2 and BC-3 Shatabdi Nagar, Meerut - 250103",250103,28.9305827,77.66647859999999
Varthana Finance,Karnataka,None,Mysore,"Varthana Finance #3973 Hampi Circle Main Road, Vijayanagar 2ndStage, Mysore - 570017",570017,12.3343215,76.6062125
Varthana Finance,Maharashtra,None,Nagpur,"Varthana Finance Jichkar House Plot No. 130, Abhyankar Road, Opposite Advocate Manohar House, Near Dhantoli Park, Dhantoli, Nagpur, Maharashtra - 440012",440012,21.1356202,79.0821509
Varthana Finance,Andhra Pradesh,None,Nellore,"Varthana Finance No. 26/16/334, Kay Kay Square, Main Mini Bypass Road, Magunta layout, Nellore - 524003",524003,14.4308338,79.9776574
Varthana Finance,Maharashtra,None,Pune,"Varthana Finance Building No. 13, Shan Hira Heights, MG Road, Pune - 411001",411001,18.5154131,73.8792419
Varthana Finance,Chhattisgarh,None,Raipur,"Varthana Finance Park Plaza, Office No. 213, Near Airtel Office, Ring road No. 1, Telibandha, Raipur - 492001",492001,21.2351445,81.6676512
Varthana Finance,Gujarat,None,Surat,"Varthana Finance 4thFloor, Shree Kuberji Complex, Athugar Street, Nr. Post Office Char rasta Nanpura Surat - 395001",395001,21.189563,72.813334
Varthana Finance,Maharashtra,None,Thane,"Varthana Finance Office No. 102, 1stFloor, Tulsi Chambers, Opp. Three Petrol Pump, Panchapakhadi, Naupada, Thane (west) - 400602",400602,19.1932127,72.9699301
Varthana Finance,Rajasthan,None,Udaipur,"Varthana Finance S-15, 2ndFloor, Manglam Fun Square, Durga Nursery Road, Udaipur - 313001",313001,24.5841266,73.7094329
Varthana Finance,Uttar Pradesh,None,Varanasi,"Varthana Finance No. 416, 1stFloor, Babatpur, Opp. KJ Hotel, Varanasi - 221006",221006,25.4297774,82.8623836
Varthana Finance,Andhra Pradesh,None,Vijayawada,"Varthana Finance Dr. Rajesh Complex, D NO - 73-7-12, Besides Vijaya Hospital, Donka Road Patamata, Venkateswara Puram, Vijayawada -Krishna Dist - 520010",520010,16.4923026,80.66617269999999
Varthana Finance,Andhra Pradesh,None,Visakhapatnam,"Varthana Finance D no:50-87-10, 1stFloor, Venkata Ratnam Nilayam, Madura Nagar, Seethammapeta Jn, Visakhapatnam - 530016",530016,17.6868159,83.2184815
