Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Berar Finance,Odisha,Sundargarh,Berar Finance Ltd Sundargarh,"Plot No.2122/5342, Patel Complex,Badpatrapali Chowk, Po-Sundargarh, Dist-Sundargarh,770001, Odisha",770001,22.1129,84.0539
Berar Finance,Telangana,Siddhipet,Berar Finance Ltd Siddhipet,"Beside John Deere Tractor Showroom, Hyderabad Road, Siddipet (TS)",,18.091913,78.853841
Berar Finance,Gujarat,Junagadh,Berar Finance Ltd Junagadh,"Shop No.304, 3rd Floor, V Arcade, M.G. Road, Junagadh (GJ)",,21.5181,70.4608
Berar Finance,MadhyaPardesh,Khandwa,Berar Finance Ltd Khandwa,"Zone 01, 437 Mahtma Gandhi Marg Ward No 30 Indore Road, Padam Nagar, Khandwa, (MP)",,21.8259,76.3296
Berar Finance,Telangana,Adilabad,Berar Finance Ltd Adilabad,"Door no 12-27 Plot no 55, Desnapur G.P.,Mavala, Opposite Tirumla Petrol pump, Adilabad",,19.6588206,78.5248298
Berar Finance,Maharashtra,Pandharpur,Berar Finance Ltd Pandharpur,"Plot No.71, Survey No-102/2/71, Bhagyashri Plaza, 2nd Floor, Link Road, Pandharpur",,17.6772017,75.3132217
Berar Finance,Telangana,Mahabubabad,Berar Finance Ltd Mahabubabad,"Survey No 588, Opposite NTR Stadeum, RTC Bus Stand, Kesamudram Road, Mahabubabad, Telangana",,17.611864,80.004591
Berar Finance,MadhyaPardesh,Harda,Berar Finance Ltd Harda,"Indore Road, In front of Honda Showroom, Harda",,22.3560816,77.0834363
Berar Finance,Telangana,Kothagudem,Berar Finance Ltd Kothagudem,"H.No-9-45, 1st Floor, Opp Agriculture Market , Prashanthi Nagar, Laxmidevipalli, Kothagudem (TS)",,17.5619,80.622
Berar Finance,Odisha,Bhnajanagar,Berar Finance Ltd Bhawanipatna,"1st Floor, Baunsalundi, Bhanjanagar by Pass Road, Beside TATA AIA Office, Bhanjanagar, Ganjam, Odisha",,19.926932,84.568196
Berar Finance,Maharashtra,Katol,Berar Finance Ltd Katol,"Near Chandika Temple gate, Main Road, Dodki Pura, Katol",,21.1819759,78.5657093
Berar Finance,Chhattisgarh,Korba,Berar Finance Ltd Korba,"Shop No A-8, Plot No  5, ""Nidhi Biz"", Near Patidar Bhawan, T.P. Nagar, Dist Korba ( C.G)",,22.359047,82.708161
Berar Finance,Maharashtra,Gondia,Berar Finance Ltd Gondia,"Satelite Tower, 3rd Floor, Jaistambh Chowk, Gondia",,21.45455,80.196235
Berar Finance,MadhyaPardesh,Vidisha,Berar Finance Ltd Vidisha,"Gaurav Business Square, 2nd Floor, Ward No 11, Sanchi Road, Vidisha (M.P)",,23.5195648,77.7973459
Berar Finance,Maharashtra,Manmad,Berar Finance Ltd Manmad,"S.No. 370, 2nd Floor, Hanuman Nagar, Near Katkade Hospital, Opp Market Gate No 2, Chandwad Road, Manmad",,20.262765,74.4365831
Berar Finance,Maharashtra,Paratwada,Berar Finance Ltd Paratwada,"Charpe Complex, Finale Mill Stop, Narayanpur Road, Opp Alahabad Bank, Paratwada, Dist - Amravati",,20.4900606,78.2720757
Berar Finance,Odisha,Bhawanipatna,Berar Finance Ltd Bhawanipatna,"Near Petrol Pump, Kesinga Road, Paramanandapur Kalahandi, Odisha",,19.931021,83.17236
Berar Finance,Telangana,Mirayalaguda,Berar Finance Ltd Mirayalaguda,"House No. 19-84, Beside SBI ATM, Paidimarri Tower, Reddy Colony, Miryalaguda, Dist. Nalgonda (TS)",,16.8666,79.5594
Berar Finance,Telangana,Karim Nagar,Berar Finance Ltd Karim Nagar,"H.no 8-7-323/A, 1st Floor, Hyderabad Road, Opp Hundai Show room, Kothirampur, Karimnagar (TS)",,18.434596,79.127439
Berar Finance,Maharashtra,Hingoli,Berar Finance Ltd Hingoli,"Plot No.7-36, 1st Floor, Shivaji Nagar, Behind Sundarlal Saoji Co-op Bank, Akola Road, Hingoli",,19.718674,77.148231
Berar Finance,Chhattisgarh,Dongargarh,Berar Finance Ltd Dongargarh,"Ward No.9, Ganesh Wada, Infront of High School, Dongargarh, Dist: Rajnandgaon (CG)",,21.1903,80.7505
